"pdt_id";"review_detailquestion";"response";"response_percent"
301117301;"발림성은 좋나요?";"좋음";100
301117301;"발림성은 좋나요?";"보통";0
301117301;"발림성은 좋나요?";"좋지않음";0
301117301;"제품에 끈적임이 있나요?";"없음";0
301117301;"제품에 끈적임이 있나요?";"적당함";100
301117301;"제품에 끈적임이 있나요?";"심함";0
301117301;"자극도는 어떤가요?";"순함";100
301117301;"자극도는 어떤가요?";"적당함";0
301117301;"자극도는 어떤가요?";"자극적임";0
301117301;"어떤 피부타입이세요?";"건성";0
301117301;"어떤 피부타입이세요?";"지성";0
301117301;"어떤 피부타입이세요?";"복합성";100
301117301;"어떤 피부타입이세요?";"민감성";0
301112394;"향은 좋은가요?";"좋음";0
301112394;"향은 좋은가요?";"보통";100
301112394;"향은 좋은가요?";"좋지않음";0
301112394;"발림성은 좋나요?";"좋음";0
301112394;"발림성은 좋나요?";"보통";100
301112394;"발림성은 좋나요?";"좋지않음";0
301112394;"제품에 끈적임이 있나요?";"없음";0
301112394;"제품에 끈적임이 있나요?";"적당함";100
301112394;"제품에 끈적임이 있나요?";"심함";0
301112394;"자극도는 어떤가요?";"순함";0
301112394;"자극도는 어떤가요?";"적당함";100
301112394;"자극도는 어떤가요?";"자극적임";0
301112394;"어떤 피부타입이세요?";"건성";0
301112394;"어떤 피부타입이세요?";"지성";0
301112394;"어떤 피부타입이세요?";"복합성";100
301112394;"어떤 피부타입이세요?";"민감성";0
301109006;"향은 좋은가요?";"좋음";100
301109006;"향은 좋은가요?";"보통";0
301109006;"향은 좋은가요?";"좋지않음";0
301109006;"발림성은 좋나요?";"좋음";100
301109006;"발림성은 좋나요?";"보통";0
301109006;"발림성은 좋나요?";"좋지않음";0
301109006;"제품에 끈적임이 있나요?";"없음";100
301109006;"제품에 끈적임이 있나요?";"적당함";0
301109006;"제품에 끈적임이 있나요?";"심함";0
301109006;"자극도는 어떤가요?";"순함";50
301109006;"자극도는 어떤가요?";"적당함";50
301109006;"자극도는 어떤가요?";"자극적임";0
301109006;"어떤 피부타입이세요?";"건성";50
301109006;"어떤 피부타입이세요?";"지성";0
301109006;"어떤 피부타입이세요?";"복합성";50
301109006;"어떤 피부타입이세요?";"민감성";0
301102123;"향은 좋은가요?";"좋음";0
301102123;"향은 좋은가요?";"보통";100
301102123;"향은 좋은가요?";"좋지않음";0
301102123;"발림성은 좋나요?";"좋음";100
301102123;"발림성은 좋나요?";"보통";0
301102123;"발림성은 좋나요?";"좋지않음";0
301102123;"제품에 끈적임이 있나요?";"없음";0
301102123;"제품에 끈적임이 있나요?";"적당함";100
301102123;"제품에 끈적임이 있나요?";"심함";0
301102123;"자극도는 어떤가요?";"순함";0
301102123;"자극도는 어떤가요?";"적당함";100
301102123;"자극도는 어떤가요?";"자극적임";0
301102123;"어떤 피부타입이세요?";"건성";0
301102123;"어떤 피부타입이세요?";"지성";0
301102123;"어떤 피부타입이세요?";"복합성";100
301102123;"어떤 피부타입이세요?";"민감성";0
301108086;"향은 좋은가요?";"좋음";0
301108086;"향은 좋은가요?";"보통";100
301108086;"향은 좋은가요?";"좋지않음";0
301108086;"발림성은 좋나요?";"좋음";100
301108086;"발림성은 좋나요?";"보통";0
301108086;"발림성은 좋나요?";"좋지않음";0
301108086;"제품에 끈적임이 있나요?";"없음";100
301108086;"제품에 끈적임이 있나요?";"적당함";0
301108086;"제품에 끈적임이 있나요?";"심함";0
301108086;"자극도는 어떤가요?";"순함";100
301108086;"자극도는 어떤가요?";"적당함";0
301108086;"자극도는 어떤가요?";"자극적임";0
301108086;"어떤 피부타입이세요?";"건성";100
301108086;"어떤 피부타입이세요?";"지성";0
301108086;"어떤 피부타입이세요?";"복합성";0
301108086;"어떤 피부타입이세요?";"민감성";0
301106785;"향은 좋은가요?";"좋음";0
301106785;"향은 좋은가요?";"보통";100
301106785;"향은 좋은가요?";"좋지않음";0
301106785;"발림성은 좋나요?";"좋음";100
301106785;"발림성은 좋나요?";"보통";0
301106785;"발림성은 좋나요?";"좋지않음";0
301106785;"제품에 끈적임이 있나요?";"없음";100
301106785;"제품에 끈적임이 있나요?";"적당함";0
301106785;"제품에 끈적임이 있나요?";"심함";0
301106785;"자극도는 어떤가요?";"순함";100
301106785;"자극도는 어떤가요?";"적당함";0
301106785;"자극도는 어떤가요?";"자극적임";0
301106785;"어떤 피부타입이세요?";"건성";0
301106785;"어떤 피부타입이세요?";"지성";0
301106785;"어떤 피부타입이세요?";"복합성";100
301106785;"어떤 피부타입이세요?";"민감성";0
301106412;"향은 좋은가요?";"좋음";86
301106412;"향은 좋은가요?";"보통";14
